Subfamily,Genus,Genus.Species,colony_size,cs_source,cs_notes,nesting_strata,diet,status,morphism,notes_biology,
Ponerinae,Platythyrea,Platythyrea.punctata,60,King,,Ground/Leaf Litter,Predator,Nonnative,Monomorphic,,
Amblyoponinae,Prionopelta,Prionopelta.antillana,,,,Ground/Leaf Litter,Predator,Nonnative,Monomorphic,,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.cubaensis,,,,Arboreal,Omnivore,Nonnative,Monomorphic,,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.ejectus,80,King,,Arboreal,Omnivore,Nonnative,Monomorphic,,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.elongatus,80,King,,Arboreal,Omnivore,Nonnative,Monomorphic,,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.gracilis,80,King,,Arboreal,Omnivore,Nonnative,Monomorphic,prey on small insects but also honey dew from sap sucking insects,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.pallidus,30,King,,Arboreal,Omnivore,Nonnative,Monomorphic,,
Myrmicinae,Solenopsis,Solenopsis.geminata (Minor),28000,King,,Ground,Omnivore,Nonnative,Polymorphic,,
Myrmicinae,Solenopsis,Solenopsis.geminata (Major),28000,King,,Ground,Omnivore,Nonnative,Polymorphic,,
Myrmicinae,Solenopsis,Solenopsis.globularia,50,King,,Ground,Omnivore,Nonnative,Polymorphic,,
Myrmicinae,Solenopsis,Solenopsis.invicta (can't tell minors from majors using antweb images),100000,Burchill,,Ground,Omnivore,Nonnative,Polymorphic,Weakly polymorphic,
Myrmicinae,Solenopsis,Solenopsis.invicta (can't tell minors from majors using antweb images),220000,Burchill,,Ground,Omnivore,Nonnative,Polymorphic,Weakly polymorphic,
Myrmicinae,Solenopsis,Solenopsis.invicta (can't tell minors from majors using antweb images),150000,King,,Ground,Omnivore,Nonnative,Polymorphic,Weakly polymorphic,
Myrmicinae,Strumigenys,Strumigenys.eggersi,33,Deyrup,"25,  maximum 45",Leaf Litter,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.emmae,14,Deyrup and Deyrup (1999) via Antwiki,,Leaf Litter,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.emmae,42,Deyrup and Deyrup (1999) via Antwiki,,Leaf Litter,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.epinotalis,121,Deyrup,,Arboreal,Predator,Nonnative,Monomorphic,Likely diurnal?,
Myrmicinae,Strumigenys,Strumigenys.gundlachi,,,,Leaf Litter,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.hexamera,35,Terayama 2014 via Ant wiki,Up to 50,Ground,Predator,Nonnative,Monomorphic,Monogyne,
Myrmicinae,Strumigenys,Strumigenys.hexamera,50,Deyrup,Up to 50,Ground,Predator,Nonnative,Monomorphic,Monogyne,
Myrmicinae,Strumigenys,Strumigenys.lanuginosa,,,,Leaf Litter,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.margaritae,200,Deyrup,,Leaf Litter,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.margaritae,250,Deyrup,,Leaf Litter,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.membranifera,350,Ito et al. 2010 via Antwiki,up to 350 indiv,Ground,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.membranifera,250,Antwiki,average size,Ground,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.membranifera,93,Deyrup,75-110,Ground,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.rogeri,,,,Leaf Litter,Predator,Nonnative,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.silvestrii,,,,Leaf Litter,Predator,Nonnative,Monomorphic,,
Dolichoderinae,Tapinoma,Tapinoma.melanocephalum,,,,Ground/Arboreal,Omnivore,Nonnative,Monomorphic,,
Dolichoderinae,Technomyrmex,Technomyrmex.difficilis,,,,Ground/Arboreal,Omnivore,Nonnative,Monomorphic,Likely very large sizes,
Myrmicinae,Temnothorax,Temnothorax.allardycei,60,Deyrup,,Ground/Arboreal,Omnivore,Nonnative,Monomorphic,,
Myrmicinae,Tetramorium,Tetramorium.bicarinatum,500,Booher,500+ (personal account),Ground/Arboreal,Omnivore,Nonnative,Monomorphic,,
Myrmicinae,Tetramorium,Tetramorium.caldarium,,,,Ground,Omnivore,Nonnative,Monomorphic,,
Myrmicinae,Tetramorium,Tetramorium.lanuginosum,,,,Ground,Omnivore,Nonnative,Monomorphic,,
Myrmicinae,Tetramorium,Tetramorium.simillimum,300,King,,Ground,Omnivore,Nonnative,Monomorphic,Polygyne,
Myrmicinae,Wasmannia,Wasmannia.auropunctata,839,Burchill,,Ground/Leaf Litter/Arboreal,Omnivore,Nonnative,Monomorphic,,
Myrmicinae,Wasmannia,Wasmannia.auropunctata,800,King,,Ground/Leaf Litter/Arboreal,Omnivore,Nonnative,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.mariae,,,,Arboreal,Omnivore,Native,Monomorphic,"Possible parasite, rarely sampled",
Formicinae,Brachymyrmex,Brachymyrmex.depilis_cf,,,,,,,Monomorphic,,
Formicinae,Brachymyrmex,Brachymyrmex.sp,,,,,,,Monomorphic,,
Dolichoderinae,Dorymyrmex,Dorymyrmex.sp.,,,,,,,Monomorphic,,
Formicinae,Lasius,Lasius.umbratus,3000,Burchill,,Ground,Omnivore,Native,Monomorphic,temp nest parasite,
Myrmicinae,Monomorium,Monomorium.sp.,,,,,,,Monomorphic,,
Myrmicinae,Myrmecina,Myrmecina.sp.nov.,,,,,,,Monomorphic,,
Formicinae,Nylanderia,Nylanderia.sp.,,,,,,,Monomorphic,,
Myrmicinae,Pheidole,Pheidole.crassicornis_nr,,,,,,,Polymorphic,,
Myrmicinae,Pheidole,Pheidole.sp.,,,,,,,Polymorphic,,
,Polyergus,Polyergus.sp.,,,,,,,Monomorphic,,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.sp.,,,,,,,Monomorphic,,
,,"Solenopsis.diplo ( = abdita, carolinensis, nickersoni, pergandei, tennesseensis, terricola, tonsa, validiuscula) I used carolinensis",,,,,,,,,
Myrmicinae,Solenopsis,Solenopsis.phoretica (image not avail on antweb),,,,,,,,Only one specimen,
Myrmicinae,Solenopsis,Solenopsis.pergandei,10000,King,,Ground,Predator,Native,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.inopina QUEEN ONLY,,,,,,,Monomorphic,"Only known from queen, very rare species",
Myrmicinae,Strumigenys,Strumigenys.sp.,,,,,,,Monomorphic,,
Myrmicinae,Strumigenys,Strumigenys.wrayi(no image with eye available),,,,,,,Monomorphic,,
